loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date
CUS_0x1009_2025_01_01,CUS_0x1009,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x1038_2024_10_01,CUS_0x1038,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x103e_2024_12_01,CUS_0x103e,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x104f_2024_10_01,CUS_0x104f,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x107e_2024_11_01,CUS_0x107e,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1087_2024_09_01,CUS_0x1087,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1098_2025_01_01,CUS_0x1098,2025-01-01,10,4,10000,1000.0,0.0,2000.0,8000.0,2025-05-01
CUS_0x109f_2025_01_01,CUS_0x109f,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x10a9_2024_10_01,CUS_0x10a9,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x10ac_2024_08_01,CUS_0x10ac,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x10b3_2024_11_01,CUS_0x10b3,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x10b6_2025_01_01,CUS_0x10b6,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x10c5_2024_08_01,CUS_0x10c5,2024-08-01,10,9,10000,1000.0,0.0,6000.0,7000.0,2025-05-01
CUS_0x10df_2024_11_01,CUS_0x10df,2024-11-01,10,6,10000,1000.0,0.0,3000.0,7000.0,2025-05-01
CUS_0x10e2_2025_01_01,CUS_0x10e2,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x10e7_2024_11_01,CUS_0x10e7,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1108_2024_07_01,CUS_0x1108,2024-07-01,10,10,10000,1000.0,0.0,6000.0,6000.0,2025-05-01
CUS_0x111b_2024_10_01,CUS_0x111b,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1123_2024_10_01,CUS_0x1123,2024-10-01,10,7,10000,1000.0,0.0,5000.0,8000.0,2025-05-01
CUS_0x1138_2024_09_01,CUS_0x1138,2024-09-01,10,8,10000,1000.0,0.0,4000.0,6000.0,2025-05-01
CUS_0x1144_2024_11_01,CUS_0x1144,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1145_2024_08_01,CUS_0x1145,2024-08-01,10,9,10000,1000.0,0.0,6000.0,7000.0,2025-05-01
CUS_0x114b_2025_01_01,CUS_0x114b,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x1151_2024_10_01,CUS_0x1151,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1152_2024_11_01,CUS_0x1152,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1193_2024_10_01,CUS_0x1193,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1195_2024_12_01,CUS_0x1195,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1197_2024_12_01,CUS_0x1197,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x11ac_2024_08_01,CUS_0x11ac,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x11ae_2024_11_01,CUS_0x11ae,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x11b7_2025_01_01,CUS_0x11b7,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x11c1_2025_01_01,CUS_0x11c1,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x11d9_2025_01_01,CUS_0x11d9,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x11e2_2024_12_01,CUS_0x11e2,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x11ec_2024_12_01,CUS_0x11ec,2024-12-01,10,5,10000,1000.0,0.0,2000.0,7000.0,2025-05-01
CUS_0x120d_2025_01_01,CUS_0x120d,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x121b_2024_09_01,CUS_0x121b,2024-09-01,10,8,10000,1000.0,0.0,6000.0,8000.0,2025-05-01
CUS_0x122c_2024_08_01,CUS_0x122c,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x1231_2024_11_01,CUS_0x1231,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1232_2024_09_01,CUS_0x1232,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1234_2024_12_01,CUS_0x1234,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1258_2025_01_01,CUS_0x1258,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x126d_2024_11_01,CUS_0x126d,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1274_2024_08_01,CUS_0x1274,2024-08-01,10,9,10000,1000.0,0.0,7000.0,8000.0,2025-05-01
CUS_0x1277_2024_10_01,CUS_0x1277,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1278_2024_10_01,CUS_0x1278,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x127d_2024_11_01,CUS_0x127d,2024-11-01,10,6,10000,1000.0,0.0,2000.0,6000.0,2025-05-01
CUS_0x1288_2024_08_01,CUS_0x1288,2024-08-01,10,9,10000,1000.0,0.0,8000.0,9000.0,2025-05-01
CUS_0x1298_2024_11_01,CUS_0x1298,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x12a4_2024_11_01,CUS_0x12a4,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x12cc_2024_08_01,CUS_0x12cc,2024-08-01,10,9,10000,1000.0,0.0,7000.0,8000.0,2025-05-01
CUS_0x130c_2025_01_01,CUS_0x130c,2025-01-01,10,4,10000,1000.0,0.0,1000.0,7000.0,2025-05-01
CUS_0x132f_2024_10_01,CUS_0x132f,2024-10-01,10,7,10000,1000.0,0.0,3000.0,6000.0,2025-05-01
CUS_0x1338_2024_08_01,CUS_0x1338,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x133d_2025_01_01,CUS_0x133d,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x133f_2025_01_01,CUS_0x133f,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x1354_2024_12_01,CUS_0x1354,2024-12-01,10,5,10000,1000.0,0.0,2000.0,7000.0,2025-05-01
CUS_0x1370_2024_08_01,CUS_0x1370,2024-08-01,10,9,10000,1000.0,0.0,8000.0,9000.0,2025-05-01
CUS_0x1378_2024_08_01,CUS_0x1378,2024-08-01,10,9,10000,1000.0,0.0,7000.0,8000.0,2025-05-01
CUS_0x137d_2024_12_01,CUS_0x137d,2024-12-01,10,5,10000,1000.0,0.0,5000.0,10000.0,2025-05-01
CUS_0x138d_2024_11_01,CUS_0x138d,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x139b_2024_08_01,CUS_0x139b,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x13a9_2024_08_01,CUS_0x13a9,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x13b5_2024_07_01,CUS_0x13b5,2024-07-01,10,10,10000,1000.0,1000.0,0.0,0.0,2025-05-01
CUS_0x13b8_2024_07_01,CUS_0x13b8,2024-07-01,10,10,10000,1000.0,1000.0,0.0,0.0,2025-05-01
CUS_0x13ce_2024_08_01,CUS_0x13ce,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x13e4_2025_01_01,CUS_0x13e4,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x13fa_2024_10_01,CUS_0x13fa,2024-10-01,10,7,10000,1000.0,0.0,6000.0,9000.0,2025-05-01
CUS_0x13fb_2024_11_01,CUS_0x13fb,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x140e_2024_09_01,CUS_0x140e,2024-09-01,10,8,10000,1000.0,0.0,5000.0,7000.0,2025-05-01
CUS_0x1410_2024_10_01,CUS_0x1410,2024-10-01,10,7,10000,1000.0,0.0,5000.0,8000.0,2025-05-01
CUS_0x1425_2024_09_01,CUS_0x1425,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1436_2024_10_01,CUS_0x1436,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1437_2024_12_01,CUS_0x1437,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x143d_2024_12_01,CUS_0x143d,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1447_2024_10_01,CUS_0x1447,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x144d_2024_12_01,CUS_0x144d,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x144f_2024_07_01,CUS_0x144f,2024-07-01,10,10,10000,1000.0,0.0,9000.0,9000.0,2025-05-01
CUS_0x1458_2024_12_01,CUS_0x1458,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1463_2025_01_01,CUS_0x1463,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x146a_2024_09_01,CUS_0x146a,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x147a_2024_08_01,CUS_0x147a,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x1499_2025_01_01,CUS_0x1499,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x14c2_2024_09_01,CUS_0x14c2,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x14d9_2024_10_01,CUS_0x14d9,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x14ec_2024_07_01,CUS_0x14ec,2024-07-01,10,10,10000,1000.0,0.0,9000.0,9000.0,2025-05-01
CUS_0x14f1_2024_09_01,CUS_0x14f1,2024-09-01,10,8,10000,1000.0,0.0,6000.0,8000.0,2025-05-01
CUS_0x14f4_2024_12_01,CUS_0x14f4,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x14f6_2024_09_01,CUS_0x14f6,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1510_2024_08_01,CUS_0x1510,2024-08-01,10,9,10000,1000.0,0.0,7000.0,8000.0,2025-05-01
CUS_0x151b_2024_12_01,CUS_0x151b,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1535_2024_11_01,CUS_0x1535,2024-11-01,10,6,10000,1000.0,0.0,2000.0,6000.0,2025-05-01
CUS_0x1540_2024_10_01,CUS_0x1540,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1542_2024_12_01,CUS_0x1542,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1551_2024_11_01,CUS_0x1551,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x155b_2024_10_01,CUS_0x155b,2024-10-01,10,7,10000,1000.0,0.0,5000.0,8000.0,2025-05-01
CUS_0x1563_2024_12_01,CUS_0x1563,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x1572_2024_08_01,CUS_0x1572,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x157d_2024_10_01,CUS_0x157d,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x158e_2024_11_01,CUS_0x158e,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x1595_2024_07_01,CUS_0x1595,2024-07-01,10,10,10000,1000.0,1000.0,0.0,0.0,2025-05-01
CUS_0x159b_2024_08_01,CUS_0x159b,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x15a9_2024_11_01,CUS_0x15a9,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
CUS_0x15c5_2025_01_01,CUS_0x15c5,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x15df_2024_12_01,CUS_0x15df,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x15ec_2024_07_01,CUS_0x15ec,2024-07-01,10,10,10000,1000.0,1000.0,0.0,0.0,2025-05-01
CUS_0x15f1_2024_08_01,CUS_0x15f1,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x1600_2024_10_01,CUS_0x1600,2024-10-01,10,7,10000,1000.0,0.0,3000.0,6000.0,2025-05-01
CUS_0x1607_2024_10_01,CUS_0x1607,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1612_2024_10_01,CUS_0x1612,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1613_2024_12_01,CUS_0x1613,2024-12-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2025-05-01
CUS_0x161b_2024_09_01,CUS_0x161b,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1621_2024_08_01,CUS_0x1621,2024-08-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2025-05-01
CUS_0x1638_2024_08_01,CUS_0x1638,2024-08-01,10,9,10000,1000.0,0.0,6000.0,7000.0,2025-05-01
CUS_0x164f_2024_12_01,CUS_0x164f,2024-12-01,10,5,10000,1000.0,0.0,3000.0,8000.0,2025-05-01
CUS_0x165a_2024_09_01,CUS_0x165a,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x165b_2024_08_01,CUS_0x165b,2024-08-01,10,9,10000,1000.0,0.0,6000.0,7000.0,2025-05-01
CUS_0x165f_2025_01_01,CUS_0x165f,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x1663_2024_10_01,CUS_0x1663,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1673_2024_10_01,CUS_0x1673,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x1680_2024_10_01,CUS_0x1680,2024-10-01,10,7,10000,1000.0,0.0,4000.0,7000.0,2025-05-01
CUS_0x1691_2024_09_01,CUS_0x1691,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x1697_2025_01_01,CUS_0x1697,2025-01-01,10,4,10000,1000.0,0.0,2000.0,8000.0,2025-05-01
CUS_0x16ae_2025_01_01,CUS_0x16ae,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x16b6_2024_09_01,CUS_0x16b6,2024-09-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2025-05-01
CUS_0x16be_2024_10_01,CUS_0x16be,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x16ee_2024_09_01,CUS_0x16ee,2024-09-01,10,8,10000,1000.0,0.0,6000.0,8000.0,2025-05-01
CUS_0x16f5_2024_10_01,CUS_0x16f5,2024-10-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2025-05-01
CUS_0x16fd_2024_07_01,CUS_0x16fd,2024-07-01,10,10,10000,1000.0,0.0,8000.0,8000.0,2025-05-01
CUS_0x1705_2025_01_01,CUS_0x1705,2025-01-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2025-05-01
CUS_0x174b_2024_11_01,CUS_0x174b,2024-11-01,10,6,10000,1000.0,1000.0,0.0,4000.0,2025-05-01
