Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1009,52312.68_,4250.39,6,5,17,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",5,18,9.73,4.0,_,202.68,40.286996673783,31 Years and 0 Months,Yes,108.36646712525564,58.66019164829086,High_spent_Medium_value_payments,508.01234122645366,2025-01-01
CUS_0x1098,20652.98_,1468.081666666667,7,5,21,2,"Auto Loan, and Payday Loan",24,10,8.58,8.0,Standard,1859.53,37.44110091296552,18 Years and 11 Months,NM,33.238356239959586,54.60338563277085,Low_spent_Small_value_payments,348.96642479393626,2025-01-01
CUS_0x109f,130435.86000000002,10623.655,4,846,9,2,"Home Equity Loan, and Home Equity Loan",13,1,12.85,0.0,Good,942.71,34.78470397665838,29 Years and 11 Months,NM,188.18613322151185,1070.730679227028,Low_spent_Medium_value_payments,81.1419359951725,2025-01-01
CUS_0x10b6,5691341.0,1712.969166666667,7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1.0,Standard,277.93,40.27854125759779,18 Years and 4 Months,No,37.99637812752503,65.372164147804,High_spent_Small_value_payments,327.9283743913377,2025-01-01
CUS_0x10e2,43133.85000000001,3432.487500000001,10,10,31,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",43,24,6.41,11.0,Bad,2504.1,27.11586056380063,10 Years and 9 Months,Yes,151.28725497549289,67.89250966068741,High_spent_Large_value_payments,364.0689853638198,2025-01-01
CUS_0x114b,107118.96,9104.58,5,7,5,3,"Payday Loan, Auto Loan, and Not Specified",24,8,10.49,3.0,Standard,1049.33,29.111560568760147,30 Years and 10 Months,Yes,53636.0,815.4767928955413,Low_spent_Medium_value_payments,235.41521726855115,2025-01-01
CUS_0x11b7,70099.04,5420.165108200587,1,1,10,3,"Mortgage Loan, Personal Loan, and Student Loan",5,6,9.85,5.0,Good,498.61,28.95181592765235,24 Years and 4 Months,No,790.3394730098074,134.97005888833945,High_spent_Medium_value_payments,601.9706932345978,2025-01-01
CUS_0x11c1,29902.22,2230.851666666667,6,3,12,3,"Payday Loan, Personal Loan, and Student Loan",9,13,9.57,0.0,Standard,533.71,38.3218305566926,20 Years and 2 Months,Yes,66.21032709571732,44.11332027545772,!@9#%8,352.7615192954917,2025-01-01
CUS_0x11d9,87538.24,6183.897311926858,2,4,3,0,,11,6,4.6,2.0,_,41.82,30.91408081868636,25 Years and 3 Months,No,955.9560214064752,235.8595670940916,High_spent_Small_value_payments,738.1257662392418,2025-01-01
CUS_0x120d,18743.075,1330.9229166666669,2,7,4,4,"Home Equity Loan, Not Specified, Not Specified, and Personal Loan",7,12,9.46,0.0,Good,183.15,34.88858652624127,22 Years and 8 Months,No,57.80181332894509,140.07549556113563,Low_spent_Small_value_payments,225.21498277658597,2025-01-01
